Data/Hora,Obs Fiscal,Status,Logradouro,Número,Bairro,Cidade,UF,CEP,Data Agenda,Data Execução,Nome,Concessionária,Tipo da Demanda,Prazo,Zona
2022-03-01 09:14:00,(43535) Árvore caída e ja cortada na Rua Copérnico 192,Finalizada,Copérnico,192,Paupina,Fortaleza,,60872596.0,,31/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 6
2022-03-01 09:18:00,(43536) Árvore caída e ja cortada na Av L x Av F José Walter,Finalizada,L,1310,Prefeito José Walter,Fortaleza,,60750110.0,,12/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 8
2022-03-01 09:22:00,"(43537) Árvore caída e ja cortada na Av Dr correia Lima, 818",Finalizada,Doutor Correia Lima,818,Edson Queiroz,Fortaleza,,60834195.0,,15/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 7
2022-03-01 09:24:00,(43534) BAIRRO: CONJUNTO CEARÁ I PRÓXIMO A FARMACIA DO CRISOSTOMO SIGESP 2022010300053,Finalizada,D,1636,Conjunto Ceará I,Fortaleza,,60533624.0,,12/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-03-01 09:39:00,"(43538) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,César Cals,802,Vicente Pinzon,Fortaleza,,60182035.0,,13/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta Mecanizada (Grandes volumes),Excedido o Prazo,SER 2
2022-03-01 09:42:00,"(43539) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo e entulho, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. TRECHO: Embaixo do viaduto da Av. Engenheiro Santana Junior c/ Av Santos Dummont",Finalizada,Engenheiro Santana Júnior,1536,Cocó,Fortaleza,,60192200.0,,05/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 7
2022-03-01 09:44:00,(43540) REMOÇÃO DE ENTULHO NA RUA TAQUARI N 2218 CEP:60541-525,Finalizada,Taquari,2218,Granja Portugal,Fortaleza,,60541525.0,,05/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 09:45:00,"(43541) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,Riachuelo,760,Papicu,Fortaleza,,60175205.0,,18/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-03-01 09:50:00,"(43542) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,Doutor Batista de Oliveira,535,Cocó,Fortaleza,,60192340.0,,04/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 7
2022-03-01 09:51:00,"(43543) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,Raimundo Oliveira Filho,303,Papicu,Fortaleza,,60175175.0,,04/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-03-01 09:56:00,"(43544) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo e resto de poda de árvores, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente.",Finalizada,Amélia Benebien,327,Papicu,Fortaleza,,60176010.0,,27/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),CEPREL/SEGER,Coleta Mecanizada (Grandes volumes),Excedido o Prazo,SER 2
2022-03-01 10:00:00,"(43545) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. Esquina com a Rua Batista de Oliveira",Finalizada,Ivanuel Bacchiegga,99,Papicu,Fortaleza,,60175315.0,,05/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-03-01 10:01:00,"(43546) REMOÇÃO DE PODA NA RUA Bom Jesus, 3336,Granja Lisboa. CEP:60543365",Finalizada,Bom Jesus,3336,Bom Jardim,Fortaleza,,60543365.0,,04/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Poda,Excedido o Prazo,SER 5
2022-03-01 10:03:00,"(43547) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. Esquina com Rua Solon Onofre",Finalizada,Pascoal de Castro Alves,1011,Vicente Pinzon,Fortaleza,,60181225.0,,04/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-03-01 10:07:00,"(43548) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção",Finalizada,José Carlos Gurgel Nogueira,34,Vicente Pinzon,Fortaleza,,60181145.0,,04/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 2
2022-03-01 10:19:00,(43550) BAIRRO: COUTO FERNANDES PRÓXIMO A ESTAÇÃO DO METRÔ SIGESP 2022010300196,Finalizada,José Bastos,0,Couto Fernandes,Fortaleza,,60442051.0,,12/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
